Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
124.07566,C00250,M-CO2+H[1+],1.64667699920074e-05
124.07566,C00314,M-HCOOH+H[1+],0.000116466769995327
124.07566,C16586,M-C3H4O2+H[1+],1.64667699777965e-05
218.1023,C00357,M-HCOOK+H[1+],2.35332299780566e-05
218.1023,C04257,M-HCOOK+H[1+],2.35332299780566e-05
218.1023,C04501,M-HCOOK+H[1+],2.35332299780566e-05
218.1023,C18060,M-HCOOK+H[1+],2.35332299780566e-05
156.07676,C05504,M(C13)+3H[3+],0.000216866563334861
156.07676,C00135,M+H[1+],1.64667700062182e-05
156.07676,C00881,M-C3H4O2+H[1+],1.64667700062182e-05
156.07676,C03771,M-H2O+H[1+],8.35332299971014e-05
156.07676,C07054,M+H2O+H[1+],1.64667700062182e-05
130.08619,C00047,M-NH3+H[1+],8.64667700284372e-05
130.08619,C00408,M+H[1+],8.64667700284372e-05
130.08619,C05936,M+H[1+],8.64667700284372e-05
184.09679,C00788,M+H[1+],1.35332300033042e-05
184.09679,C05589,M+H[1+],1.35332300033042e-05
184.09679,C05490,M+H+Na[2+],0.000886466769998151
184.09679,C00079,M+H2O+H[1+],8.64667700284372e-05
184.09679,C00864,M-H4O2+H[1+],1.35332299748825e-05
99.04395,C00148,M-NH3+H[1+],0.000126466769998501
99.04395,C00763,M-NH3+H[1+],0.000126466769998501
99.04395,C01801,M-H4O2+H[1+],2.64667699951815e-05
99.04395,C00141,M-H2O+H[1+],2.64667700093923e-05
99.04395,C05576,M-C3H4O2+H[1+],0.00012646676998429
183.08631,C00794,M+H[1+],3.35332299812308e-05
183.08631,C01697,M+H[1+],3.35332299812308e-05
183.08631,C01019,M+H2O+H[1+],6.64667700220889e-05
183.08631,C05401,M-C3H4O2+H[1+],6.64667699936672e-05
183.08631,C02076,M-CO+H[1+],3.35332299812308e-05
243.08631,C00475,M[1+],0.00081000000000131
138.05496,C00108,M+H[1+],1.64667700062182e-05
138.05496,C05653,M-CO+H[1+],8.35332299971014e-05
138.05496,C00847,M-HCOOH+H[1+],0.000116466770009538
138.05496,C16591,M-C3H4O2+H[1+],1.64667700346399e-05
188.09175,C00547,M+H2O+H[1+],2.64667700378141e-05
188.09175,C00314,M+H2O+H[1+],2.64667700378141e-05
191.08147,C16453,M-NH3+H[1+],0.000106466770006364
191.08147,C00328,M-H2O+H[1+],6.46677000304408e-06
191.08147,C02700,M-HCOOH+H[1+],0.000106466770006364
191.08147,C05647,M-H2O+H[1+],6.46677000304408e-06
191.08147,C00931,M-H4O2+H[1+],6.46677003146578e-06
182.08117,C00082,M+H[1+],6.46677003146578e-06
182.08117,C16591,M-CO+H[1+],9.35332299718539e-05
147.07638,C00064,M+H[1+],3.53323000013006e-06
147.07638,C21029,M+H[1+],3.53323000013006e-06
147.07638,C00819,M+H[1+],3.53323000013006e-06
147.07638,C21028,M+H2O+H[1+],9.64667700316113e-05
147.07638,C00439,M-CO+H[1+],3.53323000013006e-06
315.12875,C00089,M-CO+H[1+],0.000273533230028988
315.12875,C00243,M-CO+H[1+],0.000273533230028988
315.12875,C01235,M-CO+H[1+],0.000273533230028988
315.12875,C05400,M-CO+H[1+],0.000273533230028988
315.12875,C05402,M-CO+H[1+],0.000273533230028988
315.12875,C00208,M-CO+H[1+],0.000273533230028988
315.12875,C00252,M-CO+H[1+],0.000273533230028988
315.12875,C01083,M-CO+H[1+],0.000273533230028988
133.08002,C00300,M(C13)+H[1+],0.000156466770022234
188.09174,C00547,M+H2O+H[1+],3.64667700409882e-05
188.09174,C00314,M+H2O+H[1+],3.64667700409882e-05
220.0819,C00835,M-H2O+H[1+],0.000976466769998297
220.0819,C03684,M-H2O+H[1+],0.000976466769998297
220.0819,C04874,M-H4O2+H[1+],0.000976466770026718
148.09676,C00408,M+H2O+H[1+],0.00011646677003796
148.09676,C05936,M+H2O+H[1+],0.00011646677003796
148.09676,C00864,M-C3H4O2+H[1+],0.00011646677003796
75.04401,C00937,M+H[1+],6.64667699936672e-05
75.04401,C00163,M+H[1+],6.64667699936672e-05
75.04401,C00042,M-CO2+H[1+],6.64667699936672e-05
75.04401,C00116,M-H2O+H[1+],3.35332299954416e-05
75.04401,C02170,M-CO2+H[1+],6.64667699936672e-05
75.04401,C00232,M-CO+H[1+],3.35332300096525e-05
75.04401,C00109,M-CO+H[1+],3.35332300096525e-05
75.04401,C00164,M-CO+H[1+],3.35332300096525e-05
75.04401,C00349,M-CO+H[1+],3.35332300096525e-05
75.04401,C06002,M-CO+H[1+],3.35332300096525e-05
75.04401,C00418,M+2H[2+],6.64667699936672e-05
113.02331,C04281,M-NH3+H[1+],6.64667699936672e-05
113.02331,C02237,M-NH3+H[1+],6.64667699936672e-05
113.02331,C04282,M-NH3+H[1+],6.64667699936672e-05
113.02331,C01879,M-NH3+H[1+],6.64667699936672e-05
113.02331,C02266,M-H4O2+H[1+],3.35332299812308e-05
113.02331,C05580,M-C3H4O2+H[1+],6.6466770007878e-05
113.02331,C02630,M-H4O2+H[1+],3.35332299812308e-05
113.02331,C01185,M+3H[3+],9.98001033423179e-05
127.08657,C16741,M-H4O2+H[1+],9.35332299860647e-05
106.04983,C00065,M+H[1+],4.64667699873189e-05
106.04983,C00740,M+H[1+],4.64667699873189e-05
106.04983,C00049,M-CO+H[1+],5.35332300160007e-05
106.04983,C00402,M-CO+H[1+],5.35332300160007e-05
106.04983,C02218,M+H2O+H[1+],4.64667699873189e-05
237.12332,C00978,M+H2O+H[1+],5.64667700189148e-05
237.12332,C05642,M-CO+H[1+],4.35332300128266e-05
125.02332,C03824,M-NH3+H[1+],5.6466769990493e-05
125.02332,C00322,M-H4O2+H[1+],4.35332299844049e-05
72.04432,C00099,M-H2O+H[1+],5.64667700047039e-05
72.04432,C00041,M-H2O+H[1+],5.64667700047039e-05
72.04432,C00213,M-H2O+H[1+],5.64667700047039e-05
72.04432,C03508,M-HCOOH+H[1+],0.000156466769979602
120.06553,C00188,M+H[1+],5.35332300017899e-05
120.06553,C05519,M+H[1+],5.35332300017899e-05
120.06553,C00025,M-CO+H[1+],5.35332300017899e-05
120.06553,C05938,M-CO+H[1+],5.35332300017899e-05
120.06553,C05947,M-CO2+H[1+],4.64667700015298e-05
120.06553,C00217,M-CO+H[1+],5.35332300017899e-05
117.1022,C16741,M-HCOOH+H[1+],7.64667699968413e-05
151.06143,C00073,M(C13)+H[1+],0.000246466769993958
151.06143,C16356,M-HCOOH+H[1+],4.64667699873189e-05
151.06143,C16360,M-HCOOH+H[1+],4.64667699873189e-05
217.08178,C00299,M-CO+H[1+],3.53323000013006e-06
271.12887,C00921,M-CO2+H[1+],0.00130646677001778
212.05535,C00526,M-NH3+H[1+],2.64667700093923e-05
212.05535,C01693,M+H2O+H[1+],2.64667700093923e-05
212.05535,C04185,M+H2O+H[1+],2.64667700093923e-05
176.09168,C01132,M-HCOOH+H[1+],9.64667700031896e-05
